:ID,consumables,max_atmosphering_speed,cargo_capacity,passengers,created,edited,url,name,starship_class,model,MGLT,hyperdrive_rating,manufacturer,length,crew,cost_in_credits,:LABEL
224,1 year,950,3000000,600,2014-12-10T14:20:33.369000Z,2014-12-20T21:23:49.867000Z,https://swapi.dev/api/starships/2/,CR90 corvette,corvette,CR90 corvette,60,2.0,Corellian Engineering Corporation,150,30-165,3500000,Starship
225,2 years,975,36000000,n/a,2014-12-10T15:08:19.848000Z,2014-12-20T21:23:49.870000Z,https://swapi.dev/api/starships/3/,Star Destroyer,Star Destroyer,Imperial I-class Star Destroyer,60,2.0,Kuat Drive Yards,"1,600","47,060",150000000,Starship
226,1 month,1000,180000,75,2014-12-10T15:48:00.586000Z,2014-12-20T21:23:49.873000Z,https://swapi.dev/api/starships/5/,Sentinel-class landing craft,landing craft,Sentinel-class landing craft,70,1.0,"Sienar Fleet Systems, Cyngus Spaceworks",38,5,240000,Starship
227,3 years,n/a,1000000000000,"843,342",2014-12-10T16:36:50.509000Z,2014-12-20T21:26:24.783000Z,https://swapi.dev/api/starships/9/,Death Star,Deep Space Mobile Battlestation,DS-1 Orbital Battle Station,10,4.0,"Imperial Department of Military Research, Sienar Fleet Systems",120000,"342,953",1000000000000,Starship
228,2 months,1050,100000,6,2014-12-10T16:59:45.094000Z,2014-12-20T21:23:49.880000Z,https://swapi.dev/api/starships/10/,Millennium Falcon,Light freighter,YT-1300 light freighter,75,0.5,Corellian Engineering Corporation,34.37,4,100000,Starship
229,1 week,1000km,110,0,2014-12-12T11:00:39.817000Z,2014-12-20T21:23:49.883000Z,https://swapi.dev/api/starships/11/,Y-wing,assault starfighter,BTL Y-wing,80,1.0,Koensayr Manufacturing,14,2,134999,Starship
230,1 week,1050,110,0,2014-12-12T11:19:05.340000Z,2014-12-20T21:23:49.886000Z,https://swapi.dev/api/starships/12/,X-wing,Starfighter,T-65 X-wing,100,1.0,Incom Corporation,12.5,1,149999,Starship
231,5 days,1200,150,0,2014-12-12T11:21:32.991000Z,2014-12-20T21:23:49.889000Z,https://swapi.dev/api/starships/13/,TIE Advanced x1,Starfighter,Twin Ion Engine Advanced x1,105,1.0,Sienar Fleet Systems,9.2,1,unknown,Starship
232,6 years,n/a,250000000,38000,2014-12-15T12:31:42.547000Z,2014-12-20T21:23:49.893000Z,https://swapi.dev/api/starships/15/,Executor,Star dreadnought,Executor-class star dreadnought,40,2.0,"Kuat Drive Yards, Fondor Shipyards",19000,"279,144",1143350000,Starship
233,6 months,650,19000000,90,2014-12-15T12:34:52.264000Z,2014-12-20T21:23:49.895000Z,https://swapi.dev/api/starships/17/,Rebel transport,Medium transport,GR-75 medium transport,20,4.0,"Gallofree Yards, Inc.",90,6,unknown,Starship
234,1 month,1000,70000,6,2014-12-15T13:00:56.332000Z,2014-12-20T21:23:49.897000Z,https://swapi.dev/api/starships/21/,Slave 1,Patrol craft,Firespray-31-class patrol and attack,70,3.0,Kuat Systems Engineering,21.5,1,unknown,Starship
235,2 months,850,80000,20,2014-12-15T13:04:47.235000Z,2014-12-20T21:23:49.900000Z,https://swapi.dev/api/starships/22/,Imperial shuttle,Armed government transport,Lambda-class T-4a shuttle,50,1.0,Sienar Fleet Systems,20,6,240000,Starship
236,2 years,800,6000000,75,2014-12-15T13:06:30.813000Z,2014-12-20T21:23:49.902000Z,https://swapi.dev/api/starships/23/,EF76 Nebulon-B escort frigate,Escort ship,EF76 Nebulon-B escort frigate,40,2.0,Kuat Drive Yards,300,854,8500000,Starship
237,2 years,n/a,unknown,1200,2014-12-18T10:54:57.804000Z,2014-12-20T21:23:49.904000Z,https://swapi.dev/api/starships/27/,Calamari Cruiser,Star Cruiser,MC80 Liberty type Star Cruiser,60,1.0,Mon Calamari shipyards,1200,5400,104000000,Starship
238,1 week,1300,40,0,2014-12-18T11:16:34.542000Z,2014-12-20T21:23:49.907000Z,https://swapi.dev/api/starships/28/,A-wing,Starfighter,RZ-1 A-wing Interceptor,120,1.0,"Alliance Underground Engineering, Incom Corporation",9.6,1,175000,Starship
239,1 week,950,45,0,2014-12-18T11:18:04.763000Z,2014-12-20T21:23:49.909000Z,https://swapi.dev/api/starships/29/,B-wing,Assault Starfighter,A/SF-01 B-wing starfighter,91,2.0,Slayn & Korpil,16.9,1,220000,Starship
240,unknown,900,unknown,16,2014-12-19T17:01:31.488000Z,2014-12-20T21:23:49.912000Z,https://swapi.dev/api/starships/31/,Republic Cruiser,Space cruiser,Consular-class cruiser,unknown,2.0,Corellian Engineering Corporation,115,9,unknown,Starship
241,500 days,n/a,4000000000,139000,2014-12-19T17:04:06.323000Z,2014-12-20T21:23:49.915000Z,https://swapi.dev/api/starships/32/,Droid control ship,Droid control ship,Lucrehulk-class Droid Control Ship,unknown,2.0,"Hoersch-Kessel Drive, Inc.",3170,175,unknown,Starship
242,7 days,1100,65,0,2014-12-19T17:39:17.582000Z,2014-12-20T21:23:49.917000Z,https://swapi.dev/api/starships/39/,Naboo fighter,Starfighter,N-1 starfighter,unknown,1.0,Theed Palace Space Vessel Engineering Corps,11,1,200000,Starship
243,unknown,920,unknown,unknown,2014-12-19T17:45:03.506000Z,2014-12-20T21:23:49.919000Z,https://swapi.dev/api/starships/40/,Naboo Royal Starship,yacht,J-type 327 Nubian royal starship,unknown,1.8,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",76,8,unknown,Starship
244,30 days,1180,2500000,6,2014-12-20T09:39:56.116000Z,2014-12-20T21:23:49.922000Z,https://swapi.dev/api/starships/41/,Scimitar,Space Transport,Star Courier,unknown,1.5,Republic Sienar Systems,26.5,1,55000000,Starship
245,1 year,2000,unknown,10,2014-12-20T11:05:51.237000Z,2014-12-20T21:23:49.925000Z,https://swapi.dev/api/starships/43/,J-type diplomatic barge,Diplomatic barge,J-type diplomatic barge,unknown,0.7,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",39,5,2000000,Starship
246,unknown,unknown,unknown,30000,2014-12-20T17:24:23.509000Z,2014-12-20T21:23:49.928000Z,https://swapi.dev/api/starships/47/,AA-9 Coruscant freighter,freighter,Botajef AA-9 Freighter-Liner,unknown,unknown,Botajef Shipyards,390,unknown,unknown,Starship
247,7 days,1150,60,0,2014-12-20T17:35:23.906000Z,2014-12-20T21:23:49.930000Z,https://swapi.dev/api/starships/48/,Jedi starfighter,Starfighter,Delta-7 Aethersprite-class interceptor,unknown,1.0,Kuat Systems Engineering,8,1,180000,Starship
248,unknown,8000,unknown,unknown,2014-12-20T17:46:46.847000Z,2014-12-20T21:23:49.932000Z,https://swapi.dev/api/starships/49/,H-type Nubian yacht,yacht,H-type Nubian yacht,unknown,0.9,Theed Palace Space Vessel Engineering Corps,47.9,4,unknown,Starship
